field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
plaintiff,Plaintiff,W001,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
defendant,Defendant,W002,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
other_party,Other party,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
superior_court,Superior Court,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
district_court,District Court,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
county,County,W006,text,text,case_constant,county,0,0,green,Y,,,case_dict,
location_town,Location Town,W007,text,text,case_constant,county,0,0,green,Y,,,case_dict,
docket_no,Docket No,W008,text,text,case_constant,docket_no,0,0,green,Y,,,case_dict,
consent_to_appointment_of_referee_i_consent_to_the_appointment_of_a_referee_paid_for_by_the_court_to_hear_my,Consent to Appointment of Referee I consent to the appointment of a referee paid for by the court to hear my,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
objection_to_appointment_of_referee_i_object_to_the_appointment_of_a_referee_paid_for_by_the_court_to_hear_my,Objection to Appointment of Referee I object to the appointment of a referee paid for by the court to hear my,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_mmddyyyy,Date mmddyyyy,W011,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
undefined,undefined,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
plaintiff_2,Plaintiff_2,W013,text,text,party_attr,plaintiff,0,0,green,Y,,,case_dict,
plaintiffs_attorney,Plaintiffs Attorney,W014,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
defendant_2,Defendant_2,W015,text,text,party_attr,defendant,0,0,green,Y,,,case_dict,
defendants_attorney,Defendants Attorney,W016,text,text,party_attr,attorney,0,0,green,Y,,,case_dict,
other,Other,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
undefined_2,undefined_2,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
printed_name_and_bar_number_if_applicable,Printed Name and Bar Number if applicable,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
